metric_id,geography_level,geography_code,year,religion,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
mla-share,state,IN-S27,2024,muslim,3.47,assembly_seats (10/288 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Maharashtra, 2024. LatestLY, Deccan Herald (2024 Maharashtra). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S06,2024,muslim,5.56,assembly_seats (5/90 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Haryana, 2024. ummid.com (2024 Haryana). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S29,2023,muslim,4.02,assembly_seats (9/224 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Karnataka, 2023. The Hindu, Maktoob (2023 Karnataka). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S23,2023,muslim,0.87,assembly_seats (2/230 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Madhya Pradesh, 2023. TimelineDaily (2023 MP). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S08,2023,muslim,3.0,assembly_seats (6/200 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Rajasthan, 2023. TimelineDaily (2023 Rajasthan). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S36,2023,muslim,5.88,assembly_seats (7/119 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Telangana, 2023. TimelineDaily (2023 Telangana). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S22,2023,muslim,0.0,assembly_seats (0/90 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Chhattisgarh, 2023. TimelineDaily (2023 Chhattisgarh). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S16,2023,muslim,0.0,assembly_seats (0/60 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Tripura, 2023. Free Press Journal, The Pamphlet (Feb 2023 main election — no Muslim winner; Tafazzul Hossain BJP became state's first-ever Muslim MLA via Boxanagar bypoll Sep 2023, not counted in main-election row). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S17,2023,muslim,0.0,assembly_seats (0/60 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Meghalaya, 2023. No Muslim MLA winner found in 2023 Meghalaya assembly election (Christian-majority state with ~4.4% Muslim population). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S13,2023,muslim,0.0,assembly_seats (0/60 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Nagaland, 2023. Clarion India — Christian-majority state, no Muslim MLA winner found in 2023. Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S15,2023,muslim,0.0,assembly_seats (0/40 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Mizoram, 2023. Clarion India — no Muslim MLA in state history. Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S09,2022,muslim,8.44,assembly_seats (34/403 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Uttar Pradesh, 2022. The Wire, Maktoob, Indian Express (2022 UP). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S24,2022,muslim,1.65,assembly_seats (3/182 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Gujarat, 2022. Indian Express, Times of India (2022 Gujarat — historic low after BJP sweep). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S05,2022,muslim,4.29,assembly_seats (3/70 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Uttarakhand, 2022. ummid.com (2022 Uttarakhand — Shahzad BSP, Sarwat Kareem Ansari BSP, Furkan Ahmad INC). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S03,2022,muslim,0.85,assembly_seats (1/117 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Punjab, 2022. ummid.com, Maeeshat (2022 Punjab — Jamil ur Rahman AAP from Malerkotla, only Muslim MLA in state). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S14,2022,muslim,1.67,assembly_seats (1/60 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Manipur, 2022. Clarion India, Meghalaya Monitor (2022 Manipur — 13 Muslim candidates fielded, 1 won). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S02,2022,muslim,0.0,assembly_seats (0/68 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Himachal Pradesh, 2022. thenewzradar.com — no Muslim MLA elected in HP since state formation 1971 (~2.1% Muslim population). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S30,2022,muslim,0.0,assembly_seats (0/40 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Goa, 2022. No Muslim MLA winner identified in 2022 Goa assembly election (~8.4% Muslim population, but representation has been historically negligible). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S18,2021,muslim,24.6,assembly_seats (31/126 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Assam, 2021. Maktoob, The Hindu (2021 Assam — Muslims ~34% of population, ~25% of MLAs). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S33,2021,muslim,2.14,assembly_seats (5/234 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Tamil Nadu, 2021. The Wire, The Hindu (2021 Tamil Nadu). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S34,2021,muslim,3.33,assembly_seats (1/30 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Puducherry, 2021. Clarion India (2021 Puducherry — held flat with 1 Muslim MLA in 30-member assembly). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S10,2020,muslim,7.82,assembly_seats (19/243 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Bihar, 2020. Maktoob, The Wire (2020 Bihar — Muslims ~17% of population). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
